id;name;brand;category;price;image
AVpirqtQil;Details About Skybell Hd Wifi 1080p Video Doorbell Bronze (sh02300bz);Skybell;Security;197.99;https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5665/5665606_sa.jpg
AVpfHjh7LJ;Actiontec 300 Mbps Wireless-N ADSL Modem Router (GT784WN);Actiontec;Computers;39.99;https://images-na.ssl-images-amazon.com/images/I/816uWebtdEL._SL1500_.jpg
AVpe5gDcil;Yamaha - 725W 5.1-Ch. Network-Ready 4K Ultra HD and 3D Pass-Through A/V Home Theater Receiver - Black;Yamaha;Audio;279.99;https://static.bhphoto.com/images/images500x500/yamaha_rx_v481bl_rx_v481_5_1_channel_a_v_receiver_1482852947000_1239301.jpg
AVpf4W5_il;PowerShot G5 X Digital Camera Free Accessory Kit;Canon;Accessories;1198.99;https://static.bhphoto.com/images/images500x500/canon_powershot_g5_x_digital_1523964122000_1193498.jpg
AVwjc_-jv8;Olympus TG-5 Waterproof Camera with 3-Inch LCD;Olympus;Cameras;479.42;https://static.bhphoto.com/images/images500x500/olympus_tough_tg_5_digital_camera_1505997036000_1344455.jpg
AV1YHuWegl;Alpha a7 Mirrorless Digital Camera with 28-70mm Lens and Battery Kit;Sony;Cameras;1515.14;https://static.bhphoto.com/images/images500x500/sony_alpha_a7_mirrorless_digital_1528300131000_1207804.jpg
AVyn8_rsU2;Powerstation XXL Three-USB 20,000mAh Battery Pack (Rose Gold);mophie;Accessories;99.95;https://static.bhphoto.com/images/images500x500/mophie_3566_powerstation_xxl_rose_1475252425000_1286422.jpg
AVpgSxBfLJ;Bose SoundLink Color Bluetooth Speaker (Black);Bose;Audio;81;https://images-na.ssl-images-amazon.com/images/I/71UX1F%2B4lmL._SL1500_.jpg
AVqkH8PGU2;Sony - 55 Class - LED - X800E Series - 2160p - Smart - 4K UHD TV with HDR";Sony;Smart TVs;2096;https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5748/5748208_rd.jpg
AVphdi9-il;XD3 - 3 Active Desktop Monitor System (Pair);Cerwin-Vega;Audio;118.99;https://static.bhphoto.com/images/images500x500/cerwin_vega_xd_3_xd3_3_active_1395781555000_1039657.jpg
AVpfRBBK1c;Startech VGA Video Extender Over Cat5, Point to Point;StarTech;Computers;135.07;https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1347/1347429_sa.jpg
AVzxqGmivK;LG Electronics OLED65C7P 65-Inch 4K Ultra HD Smart OLED TV - Refurbished;LG;Smart TVs;2943.99;https://images-na.ssl-images-amazon.com/images/I/813X4LSEeGL._SL1500_.jpg
AVpgBE3vil;65 Ultra-Light Carbon Fiber Tripod with Ball Head (Black);Polaroid;Accessories;149;http://pisces.bbystatic.com/image2/BestBuy_US/images/products/5209/5209252_ra.jpg
AV1YF0uvgl;Samsung SNH-P6410BN SmartCam HD Pro 1080p WiFi IP Camera;Samsung;Security;479;https://pisces.bbystatic.com/image2/BestBuy_US/images/products/7797/7797122_sa.jpg
AVrI3KE1U2;SAMSUNG 65 Class 4K (2160P) Ultra HD Smart QLED HDR TV QN65Q6FNAFXZA (2018 Model)";Samsung;Smart TVs;851.99;https://images-na.ssl-images-amazon.com/images/I/91XcqPZTw8L._SL1500_.jpg
AVpjVScG1c;MG7310-10 8x4 343 Mbps DOCSIS 3.0 Cable Modem N300 Wi-Fi Router;Motorola;Computers;94.99;https://static.bhphoto.com/images/images500x500/motorola_mg7310_10_8x4_343_mbps_1454516451000_1217530.jpg
AVtidMFpQM;Details About Logitech Ue Roll 2 Wireless Portable Bluetooth Waterproof Speaker;Logitech;Stereo;81.4;https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5193/5193600_sa.jpg
AV1Mr7IRvK;Apple - MacBook Pro® - 13 Display - Intel Core i5 - 8 GB Memory - 512GB Flash Storage (Latest Model) - Silver";Apple;Computers;1900;https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5721/5721502_sa.jpg
AVpfCxqDLJ;Jensen174 Portable 3-Speed Stereo Turntable With Built-In Speakers - Black (jta-410 );Jensen;Stereo;117.48;http://pisces.bbystatic.com/image2/BestBuy_US/images/products/4360/4360002_sa.jpg
AVwjdOdov8;UBD-M9500 HDR UHD Upscaling Blu-ray Disc Player;Samsung;Video;299.99;https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5791/5791803_rd.jpg
AVpfWGrYLJ;Cyber-shot DSC-RX100 V Digital Camera;Sony;Cameras;1214.5;https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5655/5655631cv14d.jpg
AVphTO5W1c;Adventura SH 140 II Shoulder Bag (Black);Lowepro;Cameras;35.6;https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4031/4031439_rd.jpg
